date,tournament,patch,w_l,side,vs,bans,bans_vs,picks,picks_vs,players,ban1,ban2,ban3,ban4,ban5,ban_vs1,ban_vs2,ban_vs3,ban_vs4,ban_vs5,pick_top,pick_jg,pick_mid,pick_bot,pick_sup,pick_vs_top,pick_vs_jg,pick_vs_mid,pick_vs_bot,pick_vs_sup,player_top,player_jg,player_mid,player_bot,player_sup
2022-07-16,KR LCK 2022 Summer,12.12,Loss,Blue,T1,"Renata Glasc,Sylas,Senna,Ezreal,Kalista","Zeri,Corki,Lucian,Poppy,Swain","Gnar,Vi,Akali,Aphelios,Nautilus","Gangplank,Lee Sin,Azir,Draven,Pyke","Kingen,Juhan,Zeka,Deft,BeryL",Renata Glasc,Sylas,Senna,Ezreal,Kalista,Zeri,Corki,Lucian,Poppy,Swain,Gnar,Vi,Akali,Aphelios,Nautilus,Gangplank,Lee Sin,Azir,Draven,Pyke,Kingen,Juhan,Zeka,Deft,BeryL
2022-07-20,KR LCK 2022 Summer,12.12,Loss,Red,Fredit BRION,"Aphelios,Zeri,Corki,Kai'Sa,Tahm Kench","Lucian,Taliyah,Kalista,Azir,Ryze","Gangplank,Poppy,Akali,Ezreal,Karma","Gnar,Wukong,Sylas,Xayah,Rakan","Kingen,Juhan,Zeka,Deft,BeryL",Aphelios,Zeri,Corki,Kai'Sa,Tahm Kench,Lucian,Taliyah,Kalista,Azir,Ryze,Gangplank,Poppy,Akali,Ezreal,Karma,Gnar,Wukong,Sylas,Xayah,Rakan,Kingen,Juhan,Zeka,Deft,BeryL
2022-07-20,KR LCK 2022 Summer,12.12,Win,Blue,Fredit BRION,"Poppy,Taliyah,Aphelios,Kai'Sa,Rakan","Zeri,Kalista,Sylas,Lucian,Renata Glasc","Sejuani,Viego,Corki,Senna,Tahm Kench","Gnar,Wukong,Ahri,Ezreal,Nautilus","Kingen,Juhan,Zeka,Deft,BeryL",Poppy,Taliyah,Aphelios,Kai'Sa,Rakan,Zeri,Kalista,Sylas,Lucian,Renata Glasc,Sejuani,Viego,Corki,Senna,Tahm Kench,Gnar,Wukong,Ahri,Ezreal,Nautilus,Kingen,Juhan,Zeka,Deft,BeryL
2022-07-20,KR LCK 2022 Summer,12.12,Win,Red,Fredit BRION,"Zeri,Corki,Sylas,Lucian,Rakan","Taliyah,Kalista,Poppy,Viego,Ornn","Lee Sin,Xin Zhao,Azir,Aphelios,Tahm Kench","Gnar,Wukong,Ahri,Kai'Sa,Nautilus","Kingen,Pyosik,Zeka,Deft,BeryL",Zeri,Corki,Sylas,Lucian,Rakan,Taliyah,Kalista,Poppy,Viego,Ornn,Lee Sin,Xin Zhao,Azir,Aphelios,Tahm Kench,Gnar,Wukong,Ahri,Kai'Sa,Nautilus,Kingen,Pyosik,Zeka,Deft,BeryL
2022-07-22,KR LCK 2022 Summer,12.12,Win,Blue,DWG KIA,"Taliyah,Tahm Kench,Lucian,Ezreal,Renata Glasc","Kalista,Poppy,Zeri,Nautilus,Draven","Gnar,Lee Sin,Sylas,Yasuo,Senna","Gangplank,Viego,Azir,Twitch,Yuumi","Kingen,Pyosik,Zeka,Deft,BeryL",Taliyah,Tahm Kench,Lucian,Ezreal,Renata Glasc,Kalista,Poppy,Zeri,Nautilus,Draven,Gnar,Lee Sin,Sylas,Yasuo,Senna,Gangplank,Viego,Azir,Twitch,Yuumi,Kingen,Pyosik,Zeka,Deft,BeryL
2022-07-22,KR LCK 2022 Summer,12.12,Loss,Red,DWG KIA,"Zeri,Lucian,Taliyah,Yuumi,Nautilus","Kalista,Lulu,Tahm Kench,Senna,Ezreal","Gnar,Poppy,Azir,Xayah,Rakan","Gangplank,Trundle,Sylas,Aphelios,Renata Glasc","Kingen,Pyosik,Zeka,Deft,BeryL",Zeri,Lucian,Taliyah,Yuumi,Nautilus,Kalista,Lulu,Tahm Kench,Senna,Ezreal,Gnar,Poppy,Azir,Xayah,Rakan,Gangplank,Trundle,Sylas,Aphelios,Renata Glasc,Kingen,Pyosik,Zeka,Deft,BeryL
2022-07-22,KR LCK 2022 Summer,12.12,Win,Blue,DWG KIA,"Taliyah,Tahm Kench,Lucian,Poppy,Renata Glasc","Kalista,Sylas,Zeri,Senna,Draven","Gnar,Lee Sin,Ahri,Jinx,Leona","Gangplank,Trundle,Corki,Aphelios,Nautilus","Kingen,Pyosik,Zeka,Deft,BeryL",Taliyah,Tahm Kench,Lucian,Poppy,Renata Glasc,Kalista,Sylas,Zeri,Senna,Draven,Gnar,Lee Sin,Ahri,Jinx,Leona,Gangplank,Trundle,Corki,Aphelios,Nautilus,Kingen,Pyosik,Zeka,Deft,BeryL
2022-07-28,KR LCK 2022 Summer,12.13,Loss,Red,Gen.G,"Yuumi,Lucian,Sylas,Alistar,Viego","Draven,Lulu,Kalista,Tahm Kench,Trundle","Gnar,Wukong,Taliyah,Sivir,Zilean","Sejuani,Poppy,Ahri,Zeri,Rakan","Kingen,Pyosik,Zeka,Deft,BeryL",Yuumi,Lucian,Sylas,Alistar,Viego,Draven,Lulu,Kalista,Tahm Kench,Trundle,Gnar,Wukong,Taliyah,Sivir,Zilean,Sejuani,Poppy,Ahri,Zeri,Rakan,Kingen,Pyosik,Zeka,Deft,BeryL
2022-07-28,KR LCK 2022 Summer,12.13,Loss,Blue,Gen.G,"Poppy,Yuumi,Ryze,Skarner,Gwen","Draven,Gnar,Sylas,Sejuani,Alistar","Ornn,Lee Sin,Taliyah,Zeri,Lulu","Gangplank,Vi,Ahri,Kalista,Renata Glasc","Kingen,Pyosik,Zeka,Deft,BeryL",Poppy,Yuumi,Ryze,Skarner,Gwen,Draven,Gnar,Sylas,Sejuani,Alistar,Ornn,Lee Sin,Taliyah,Zeri,Lulu,Gangplank,Vi,Ahri,Kalista,Renata Glasc,Kingen,Pyosik,Zeka,Deft,BeryL
2022-07-30,KR LCK 2022 Summer,12.13,Loss,Blue,Liiv SANDBOX,"Poppy,Aphelios,Ryze,Ahri,Gwen","Kalista,Yuumi,Sylas,Taliyah,Akali","Gnar,Lee Sin,Lissandra,Lucian,Nami","Sejuani,Wukong,Azir,Zeri,Nautilus","Kingen,Pyosik,Zeka,Deft,BeryL",Poppy,Aphelios,Ryze,Ahri,Gwen,Kalista,Yuumi,Sylas,Taliyah,Akali,Gnar,Lee Sin,Lissandra,Lucian,Nami,Sejuani,Wukong,Azir,Zeri,Nautilus,Kingen,Pyosik,Zeka,Deft,BeryL
